Date : 2020-11-18 01:17:56
Directory : /Users/paulkim/Desktop/csProject/RPQ-client
Total : 172 files,  27904 codes, 313 comments, 1057 blanks, all 29274 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |         10 |     20,123 |         36 |          8 |     20,167 |
| JavaScript     |        157 |      7,570 |        275 |      1,009 |      8,854 |
| CSS            |          1 |        131 |          2 |          4 |        137 |
| Markdown       |          1 |         38 |          0 |         33 |         71 |
| HTML           |          1 |         26 |          0 |          2 |         28 |
| Firebase Rules |          2 |         16 |          0 |          1 |         17 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |        172 |     27,904 |        313 |      1,057 |     29,274 |
| functions                                                                                                                    |          3 |      1,829 |          7 |          4 |      1,840 |
| public                                                                                                                       |          1 |         26 |          0 |          2 |         28 |
| src                                                                                                                          |        157 |      7,700 |        270 |      1,011 |      8,981 |
| src/components                                                                                                               |        127 |      6,303 |        209 |        809 |      7,321 |
| src/components/atoms                                                                                                         |         39 |      1,427 |          5 |        197 |      1,629 |
| src/components/atoms/IconButton                                                                                              |          2 |         40 |          0 |          8 |         48 |
| src/components/atoms/avatar                                                                                                  |          2 |         94 |          0 |          9 |        103 |
| src/components/atoms/background                                                                                              |          4 |        117 |          0 |         16 |        133 |
| src/components/atoms/box                                                                                                     |          2 |         74 |          0 |         13 |         87 |
| src/components/atoms/button                                                                                                  |          2 |        108 |          0 |         15 |        123 |
| src/components/atoms/canvas                                                                                                  |          2 |        135 |          0 |         18 |        153 |
| src/components/atoms/container                                                                                               |          2 |         57 |          0 |         10 |         67 |
| src/components/atoms/divider                                                                                                 |          2 |         40 |          0 |         10 |         50 |
| src/components/atoms/header                                                                                                  |          2 |        102 |          0 |          8 |        110 |
| src/components/atoms/icon                                                                                                    |          1 |         72 |          4 |          6 |         82 |
| src/components/atoms/image                                                                                                   |          2 |         36 |          0 |          9 |         45 |
| src/components/atoms/input                                                                                                   |          2 |        170 |          0 |         14 |        184 |
